Rzeka,Rok,Ekst,Stan_Wody,Przeplyw,Mies_Kalendarz
Wieprz (24),2021,3,397,18.100,8
Wieprz (24),2021,1,333,9.570,9
Wieprz (24),2021,2,362,13.300,9
Wieprz (24),2021,3,396,18.000,9
Wieprz (24),2021,1,340,10.500,10
Wieprz (24),2021,2,354,12.100,10
Wieprz (24),2021,3,371,14.300,10
Wieprz (24),2021,1,331,9.280,11
Wieprz (24),2021,2,340,10.400,11
Wieprz (24),2021,3,351,11.800,11
Wieprz (24),2021,1,335,8.940,12
Wieprz (24),2021,2,352,11.200,12
Wieprz (24),2021,3,377,14.400,12
Wieprz (24),2022,1,344,10.400,1
Wieprz (24),2022,2,365,14.300,1
Wieprz (24),2022,3,395,19.000,1
Wieprz (24),2022,1,368,14.900,2
Wieprz (24),2022,2,390,18.200,2
Wieprz (24),2022,3,404,20.300,2
Wieprz (24),2022,1,333,9.720,3
Wieprz (24),2022,2,346,11.500,3
Wieprz (24),2022,3,368,14.900,3
Wieprz (24),2022,1,335,10.000,4
Wieprz (24),2022,2,365,14.500,4
Wieprz (24),2022,3,408,20.900,4
Wieprz (24),2022,1,319,7.760,5
Wieprz (24),2022,2,337,10.300,5
Wieprz (24),2022,3,362,14.000,5
Wieprz (24),2022,1,310,6.500,6
Wieprz (24),2022,2,319,7.780,6
Wieprz (24),2022,3,326,8.740,6
Wieprz (24),2022,1,304,5.660,7
Wieprz (24),2022,2,309,6.420,7
Wieprz (24),2022,3,316,7.340,7
Wieprz (24),2022,1,300,5.100,8
Wieprz (24),2022,2,313,6.990,8
Wieprz (24),2022,3,336,10.100,8
Wieprz (24),2022,1,302,5.380,9
Wieprz (24),2022,2,320,7.890,9
Wieprz (24),2022,3,338,10.400,9
Wieprz (24),2022,1,322,8.180,10
Wieprz (24),2022,2,352,12.500,10
Wieprz (24),2022,3,390,18.200,10
Wieprz (24),2022,1,319,7.760,11
Wieprz (24),2022,2,326,8.750,11
Wieprz (24),2022,3,340,10.700,11
Wieprz (24),2022,1,324,8.460,12
Wieprz (24),2022,2,374,13.500,12
Wieprz (24),2022,3,435,23.800,12
Wieprz (24),2023,1,418,22.400,1
Wieprz (24),2023,2,431,24.500,1
Wieprz (24),2023,3,447,27.300,1
Wieprz (24),2023,1,410,21.200,2
Wieprz (24),2023,2,423,23.200,2
Wieprz (24),2023,3,445,27.000,2
Wieprz (24),2023,1,384,17.300,3
Wieprz (24),2023,2,403,20.200,3
Wieprz (24),2023,3,421,22.900,3
Wieprz (24),2023,1,375,16.000,4
Wieprz (24),2023,2,394,18.800,4
Wieprz (24),2023,3,415,22.000,4
Wieprz (24),2023,1,350,12.200,5
Wieprz (24),2023,2,386,17.700,5
Wieprz (24),2023,3,432,24.600,5
Wieprz (24),2023,1,314,7.560,6
Wieprz (24),2023,2,346,12.000,6
Wieprz (24),2023,3,382,17.100,6
Wieprz (24),2023,1,321,8.540,7
Wieprz (24),2023,2,337,10.800,7
Wieprz (24),2023,3,405,20.400,7
Wieprz (24),2023,1,314,7.560,8
Wieprz (24),2023,2,342,11.400,8
Wieprz (24),2023,3,405,20.400,8
Wieprz (24),2023,1,306,6.440,9
Wieprz (24),2023,2,319,8.260,9
Wieprz (24),2023,3,346,12.000,9
Wieprz (24),2023,1,320,8.400,10
Wieprz (24),2023,2,331,9.990,10
Wieprz (24),2023,3,395,19.000,10
