Kod,Waga,Waga_Pz,Wilg,Piach,Olej
T21013041,1119,"1070,5","5,1","6,32","2,54"
T21013051,733,"699,1","6,5","6,32","2,11"
T21013061,954,"906,6","5,3","6,32","2,41"
T21020131,"628,6","587,5","5,8","12,30","2,11"
T21020141,"913,6","759,4","5,3","12,30","2,14"
T21020151,615,"577,7","6,2","8,81","1,75"
T21020161,939,"896,3","5,4","8,20","2,27"
T21020331,"568,6","538,3","7,8","7,39","2,36"
T21020341,"699,2",660,"7,0","8,20","2,17"
T21020351,903,"861,9","6,9","8,20","2,15"
T21020361,885,"834,8","7,8","5,99","1,98"
T21020441,"1050,4","990,8","7,7","6,82","2,65"
T21020451,1004,"948,5","6,5","5,99","2,08"
T21020461,848,"806,3","5,9","6,82","2,58"
T21020531,"723,8",676,"5,4","8,81","1,77"
T21020541,718,"681,5","6,3","5,96","2,30"
T21020551,998,"958,4","5,7","6,82","2,50"
T21020561,899,"862,6","6,2","5,96","2,75"
T21020631,1070,"1015,8","4,8","6,12","2,24"
T21020641,"721,4","699,5","4,2","8,81","1,50"
T21020651,561,"532,6","7,4","6,12","2,34"
T21020661,516,500,"4,7","5,96","2,52"
T21020831,"941,8","910,8","5,8","6,12","2,37"
T21020841,"567,2","540,9","5,6","5,99","2,04"
T21020851,452,421,"9,5","6,72","1,93"
T21020861,903,"868,8","6,2","6,12","2,40"
T21020931,679,"648,5","5,5","8,08","2,14"
T21020941,"812,8",778,"6,2","8,08","2,44"
T21020951,439,"413,2","7,4","6,12","2,34"
T21020961,498,"468,7","6,3","8,08","2,55"
T21021031,"994,7","944,1","5,1","8,08","2,34"
T21021041,"637,6","605,2","5,6","6,28","2,31"
T21021051,872,"834,8","6,7",,"2,31"
T21021061,744,"703,4","5,8","8,08","2,54"
T21021131,"925,8",875,"5,9",,"1,77"
T21021151,975,"926,3","5,5","6,28","2,31"
T21021161,948,914,"4,9","6,28","2,68"
T21021241,"795,4","750,7","5,4","7,83","2,33"
T21021261,758,727,"6,4","7,83","2,16"
T21021341,894,"857,6","5,0","7,83","2,22"
T21021361,871,"827,8","5,3","7,83","2,42"
T21021541,"1066,2",1003,"6,7","6,72","1,83"
T21021551,1269,"1230,6","7,5","6,59","2,36"
T21021561,914,"875,7","6,1","6,59","2,29"
T21021631,"339,4","324,9","6,2","7,54","1,77"
T21021641,447,"428,7","5,2","7,83","2,25"
T21021651,807,"779,5","6,3","6,59","2,72"
T21021661,664,635,"6,0","5,87","2,00"
T21021731,"1057,4","1021,8","6,0","6,59","2,67"
T21021741,273,"255,9","7,6","7,54","2,48"
T21021751,856,"816,4","7,5","5,87","2,64"
T21021761,791,756,"7,0","5,87","2,52"
T21021841,"1292,6","1227,6","6,7","5,87","2,34"
T21021851,772,"744,4","6,0","7,54","2,48"
T21021861,848,"807,7","6,4","7,54","2,19"
T21021931,"912,2","878,1","5,2","7,10","2,87"
T21021941,416,"399,1","5,7","5,87","2,39"
T21021951,1008,967,"6,1","7,54","2,47"
T21021961,929,896,"5,2","7,10","2,35"
T21022031,"797,4","749,6","5,2","7,10","2,14"
T21022041,"583,2","547,5","5,5","6,72","1,98"
T21022051,959,"910,8","5,8","7,44","1,97"
T21022061,743,"714,4","6,8","7,54","2,56"
T21022231,"532,8","505,7","5,3",,"1,75"
T21022241,"1116,2","1073,9","5,2","5,29","2,25"
T21022251,744,"713,3","7,6","7,10","2,34"
T21022261,758,"721,1","7,7","7,10","2,93"
T21022331,"1400,6","1326,7","6,8","5,29","2,56"
T21022351,1162,1112,"5,4","5,29","2,16"
T21022361,842,"809,5","6,6","7,64","2,22"
T21022431,"970,4","928,9","5,6","7,64","2,16"
T21022441,"872,4","833,4","6,5","7,64","2,51"
T21022451,738,"707,3","7,1","7,64","3,04"
T21022461,855,"817,4","6,1","5,41","2,47"
T21022531,"931,4","886,4","6,0","5,41","2,04"
T21022541,747,711,"5,6","5,70","2,69"
T21022551,951,"904,4","5,5","7,44","1,78"
T21022561,554,"530,5","5,6","5,41","2,39"
T21022631,"648,6","623,4","6,2","5,70","2,70"
T21022641,"599,4","570,3","7,5","7,64","2,39"
T21022651,725,"697,9","6,8","5,70","2,11"
T21022661,709,"669,1","6,2","5,70","2,14"
T21022741,"1811,2","1724,06","5,5","7,44","1,92"
T21022751,959,"919,4","6,3","6,77","2,36"
T21022761,849,"806,5","6,2","5,70","2,54"
T21030131,"534,8","512,9","5,2","6,77","2,30"
T21030141,"639,6","605,9","6,9","8,42","2,09"
T21030151,592,"563,3","8,3","8,42","2,45"
T21030161,847,"802,8","7,1","6,77","2,50"
T21030231,"665,4",642,"5,1","5,49","2,62"
T21030241,"845,8","807,2","6,7","5,49","2,57"
T21030241,"994,8","957,8","6,5","5,49","2,63"
T21030251,910,"879,3","6,1","5,49","2,22"
T21030261,698,"668,3","6,9","5,54","1,90"
T21030331,778,"747,7","7,9","9,20","2,44"
T21030351,1083,"1034,5","5,8","5,54","1,60"
T21030361,1150,1111,"6,6","9,20","2,12"
T21030431,619,"590,7","7,0","5,73","2,57"
T21030441,833,"804,8","7,7","9,20","2,69"
T21030451,808,"773,8","8,0","5,49","2,41"
T21030461,981,"925,9","6,1","5,73","2,20"
T21030531,717,"692,9","6,2","7,46","2,45"
T21030541,1214,1169,"4,8","7,46","2,13"
T21030551,915,885,"6,2","5,73","2,28"
T21030561,761,"725,6","5,4","7,46","2,24"
T21030631,1721,"1637,5","6,6","8,93","2,22"
T21030651,1005,"970,6","7,2","8,51","2,52"
T21030661,1097,"1040,2","5,4","8,51","2,25"
T21030831,684,"646,2","7,1","8,51","2,24"
T21030841,766,"723,8","7,2","6,99","2,52"
T21030851,1046,"1014,7","5,7","6,99","2,07"
T21030861,736,"708,7","6,2","8,93","2,34"
T21030931,514,484,"6,4","6,99","2,85"
T21030941,1152,1109,"5,4","5,54","2,64"
T21030951,1027,997,"6,2","6,99","2,22"
T21030961,876,"847,8","6,5","6,99","2,91"
T21031031,1040,"983,2","5,9","8,42","1,61"
T21031051,1290,"1227,7","4,4","6,01","1,80"
T21031061,1108,"1075,3","6,6","6,01","2,86"
T21031131,542,"509,8","7,7","6,96","1,91"
T21031141,848,"815,9","5,5","6,96","2,53"
T21031151,758,"733,8","7,0","6,96","2,27"
T21031161,685,"655,2","6,8","6,01","2,54"
T21031231,570,"544,3","6,8","7,06","2,49"
T21031241,"332,4","308,8","8,2","6,96","2,50"
T21031251,892,865,"7,4","7,06","2,56"
T21031261,1055,"1009,6","7,2","7,06","2,23"
T21031331,"686,6","650,4","7,1","7,73","2,10"
T21031331,699,"668,2","6,1","6,67","2,38"
T21031351,773,"745,3","6,9","7,73","2,11"
T21031361,914,"878,7","7,9","7,73","2,31"
T21031531,"584,4","563,1","6,9","6,67","2,88"
T21031541,"538,2","507,2","8,1","6,67","1,98"
T21031551,881,"837,8","6,3","7,73","2,13"
T21031561,968,938,"6,6","7,73","2,26"
T21031631,"724,8","696,1","5,8","7,41","2,10"
T21031641,"850,8","813,4","6,2","6,67","2,65"
T21031651,1091,"1059,6","6,7","6,67","2,47"
T21031661,761,735,"6,9","7,41","2,51"
T21031731,"675,2","652,7","6,4","7,41","2,84"
T21031741,"734,8","699,3","6,3","7,41","2,55"
T21031751,935,902,"7,3","5,89","2,58"
T21031761,692,660,"7,2","5,67","2,22"
T21031841,1053,"100,9","7,4","5,89","1,80"
T21031851,753,"728,1","7,5","6,39","2,74"
T21031861,555,"536,2","6,9","5,89","2,33"
T21031931,893,"852,3","5,9","5,67","2,16"
T21031941,"868,6",832,"5,9","6,39","2,59"
T21031951,1072,"1031,1","6,3","5,67","2,09"
T21031961,797,"756,2","5,9","6,39","1,92"
T21032031,"783,6","752,5","6,2","7,27","2,15"
T21032041,772,"741,4","6,0","7,27","2,27"
T21032051,703,"674,5","8,2","7,55","2,72"
T21032061,840,"802,5","6,8","7,27","2,13"
T21032231,"775,8","747,7","9,9","7,55","2,46"
T21032241,"955,8","922,3","7,8","10,90","1,88"
T21032251,1011,"977,1","6,7","10,90","2,21"
T21032261,825,"792,7","7,2","7,55","2,31"
T21032331,"1982,6","1888,7","6,1","10,90","2,39"
T21032351,811,"780,7","7,4","7,27","2,02"
T21032361,852,"820,8","6,7","7,55","2,22"
T21032441,"809,8","780,6","6,7","6,74","2,13"
T21032451,854,"829,7","6,7","7,55","2,22"
T21032461,835,"805,9","6,4","7,27","2,04"
T21032631,"819,6",792,"6,5","6,74","2,76"
T21032641,765,"732,3","6,6","6,74","2,09"
T21032651,1035,"1000,6","6,9","6,74","2,11"
T21032661,678,"657,2","7,7","7,62","2,82"
T21032731,"871,2","838,3","6,8","7,62","2,81"
T21032741,975,"934,3","6,5","7,62","2,38"
T21032751,294,"281,4","7,4","6,74","2,65"
T21032761,519,"499,7","6,9","7,62","2,37"
T21032931,553,529,"6,5","7,62","2,14"
T21032941,"536,6","511,7","7,4","7,68","2,33"
T21032941,887,846,"6,9",,"1,72"
T21032961,964,"926,7","6,6","7,68","2,57"
T21033031,"753,8",726,"6,6","7,68","2,23"
T21033041,"781,2","745,7","6,1","6,97","2,30"
T21033051,737,"711,6","7,8","6,97","2,50"
T21033061,721,"695,6","6,9","7,68","2,60"
T21033131,"792,4","752,7","6,8","6,97","2,38"
T21033141,"843,6","790,9","4,7","6,97","1,90"
T21033151,959,"916,8","6,6","7,68","2,02"
T21033161,681,"655,9","7,7","6,97","2,13"
T21040131,"835,2",792,"6,0","6,13","1,90"
T21040132,"79,2","79,2",,"6,13",
T21040141,"889,8","855,1","7,2","6,50","2,39"
T21040151,899,"830,9","7,5",,"2,07"
T21040161,721,"694,5","7,1","6,13","2,82"
T21040631,"569,8","544,3","7,2","6,13","2,18"
T21040641,"1068,6","1033,9","5,9","6,50","2,57"
T21040661,1020,"985,2","7,4","6,13","2,44"
T21040731,"1056,2","1015,7","7,0","6,50","2,27"
T21040741,"742,2","714,2","5,5","6,38","2,63"
T21040751,"656,4",633,"7,1","6,50","2,04"
T21040761,"1090,4","1059,5","6,7","6,38","2,35"
T21040841,"1292,2","1246,2","7,4","6,38","1,55"
T21040851,"945,6","914,6","7,4","7,20","2,73"
T21040861,430,"412,1","7,0","6,38","2,33"
T21040931,"895,8","895,8","5,9","6,71","2,48"
T21040941,"630,6","603,1","6,3","7,20","2,11"
T21040951,"1055,8","1025,2","6,3","7,20","2,52"
T21040961,"768,2","739,1","7,2","6,71","2,27"
T21041031,"895,8","860,3","5,3","8,32","2,28"
T21041041,"780,8","756,2","4,9","8,32","2,42"
T21041051,746,"726,8","6,3","6,71","1,83"
T21041061,1015,"982,2","7,0","8,32","2,00"
T21041231,"1056,4","1018,4","6,2","8,32","2,35"
T21041251,846,824,"6,1","6,71","2,50"
T21041261,527,"509,9","7,0","6,71","2,64"
T21041331,1265,1225,"5,5","7,51","2,25"
T21041351,836,"804,1","8,0","9,88","2,27"
T21041361,777,"750,2","6,9","5,38","2,01"
T21041431,"588,8","567,3","6,6","5,38","2,30"
T21041441,"819,6","787,5","6,4","9,88","2,44"
T21041451,601,"581,2","8,4","9,88","2,40"
T21041461,1066,"1028,9","7,4","5,38","2,63"
T21041531,"535,6","518,5","6,1","5,56","2,63"
T21041541,585,"561,2","5,5","7,51","2,54"
T21041551,589,"569,7","8,5","7,51","1,98"
T21041561,965,"934,3","7,1","7,77","2,45"
T21041631,"682,2","658,7","6,0","5,56","1,21"
T21041641,678,"645,4","6,6","7,77","2,28"
T21041651,697,"671,5","8,8","5,36","2,81"
T21041661,749,"714,9","10,0","7,77","2,39"
T21041731,"1423,2","1365,1","6,3","5,36","1,97"
T21041751,895,"855,5","8,0","5,36","2,70"
T21041761,869,"839,8","7,4","6,03","2,02"
T21041931,472,"440,1","7,0","5,56","3,07"
T21041941,"935,8","903,3","5,7","6,03","2,49"
T21041951,611,"587,5","7,2","6,03","1,90"
T21041961,749,"718,3","6,9","5,36","2,16"
T21042031,698,"664,8","7,2","8,29","1,53"
T21042041,"442,2",424,"5,6","8,29","2,77"
T21042051,877,"844,6","6,3","5,56","2,16"
T21042061,633,"614,5","8,0",,"2,09"
T21042131,"782,7","754,8","7,1","8,29","2,26"
T21042141,"628,4","598,4","7,7","8,29","2,54"
T21042151,928,"899,6","7,6","8,29","2,60"
T21042161,546,"523,1","7,3","6,11","2,49"
T21042231,"330,4","313,3","7,2","6,11","2,69"
T21042241,"721,6","688,3","6,3","6,11","2,28"
T21042251,935,"906,9","7,8","5,74","2,39"
T21042261,744,716,"7,0","6,11","2,29"
T21042331,915,884,"6,1","5,74","2,32"
T21042341,"598,2","598,2","6,9","8,09","2,17"
T21042351,626,"608,1","7,3","5,74","2,76"
T21042361,1271,"1230,3","6,0","8,09","1,94"
T21042431,"684,4","657,6","6,0","9,46","2,20"
T21042441,775,"745,3","6,6","6,82","2,08"
T21042451,1176,"1137,4","6,8","8,09","2,74"
T21042461,452,"434,1","6,9","6,82","2,07"
T21042631,"1027,8","992,7","5,7","8,09","2,43"
T21042631,"1830,6","1775,3","5,9","10,21","2,24"
T21042661,1015,"976,7","7,2","6,82","2,14"
T21042661,570,"546,3","7,5","9,46","1,94"
T21042731,"533,6","511,3","8,3","11,07","1,76"
T21042741,"894,4","861,2","6,7","11,07","2,55"
T21042751,803,768,"6,2","9,46","2,05"
T21042761,868,843,"6,4","10,21","2,33"
T21042831,"904,8","872,3","5,0","11,07","2,61"
T21042841,"427,2","407,7","6,4","9,46","2,36"
T21042851,723,"701,3","5,9","5,08","2,74"
T21042861,883,"858,5","5,9","5,08","2,26"
T21042941,"1408,2","1357,5","5,6","6,23","2,51"
T21042951,767,"739,7","6,3","5,46","2,14"
T21042961,895,"867,7","5,9","5,08","2,25"
T21043031,789,"750,7","5,7","5,46","2,00"
T21043041,1023,983,"7,0","6,23","2,71"
T21043051,906,875,"7,5","5,46","2,53"
T21043061,921,"892,6","6,9","5,46","2,32"
T21050131,"932,2","885,1","5,7","11,57","1,50"
T21050141,"954,8",921,"7,5","5,46","2,52"
T21050151,826,"793,5","6,9","6,38","1,81"
T21050161,853,"823,1","6,9","6,38","1,96"
T21050431,"696,4","664,1","6,3","6,38","2,60"
T21050441,"722,4","696,4","6,3","6,38","2,22"
T21050451,991,"953,6","6,5","6,38","2,21"
T21050461,699,"739,7","6,0","5,72","1,89"
T21050531,"1372,8",1337,"7,2","7,85","1,89"
T21050541,"732,6","698,5","6,1","11,57","2,44"
T21050551,952,"913,8","5,6","5,72","1,81"
T21050561,520,"500,2","6,8","11,57","2,49"
T21050631,"1065,8","972,8","6,1","8,69","2,13"
T21050641,439,"423,9","6,5","9,25","2,02"
T21050651,840,"816,4","6,8","11,57","2,20"
T21050661,796,"755,7","5,2","8,69","1,65"
T21050731,"562,4","541,6","6,4","5,72","2,06"
T21050741,"701,8","669,3","6,3","11,57","2,09"
T21050751,367,"350,8","8,2","8,69","2,20"
T21050761,838,"810,3","7,4","5,72","2,88"
T21050841,"300,2","284,2","8,9","8,69","1,55"
T21050841,227,"212,6","6,5","9,25","1,92"
T21050851,878,"848,5","7,2","8,69","2,26"
T21050861,499,"479,2","6,8","5,72","2,20"
T21051031,"789,8","762,5","6,2","8,69","2,73"
T21051041,"690,8",653,"5,2","10,95","1,74"
T21051051,1131,,"6,1",,"1,63"
T21051061,1141,"1110,3","6,3","7,85","2,55"
T21051131,962,"924,7","7,2","9,25","2,88"
T21051141,"1222,6","1183,7","5,6","10,95","2,09"
T21051161,640,"615,3","6,3","9,25","1,75"
T21051231,"676,8","652,8","6,5","6,94","2,16"
T21051241,"608,4","588,4","5,7","6,94","2,15"
T21051261,836,812,"6,6","10,95","2,51"
T21051331,434,"412,6","6,3","10,95","1,80"
T21051341,"357,6","341,1","6,3","6,94","2,15"
T21051351,653,"633,3","6,6","6,94","2,16"
T21051361,642,"621,4","6,2","10,95","2,55"
T21051431,"266,2",257,,,
T21051431,"551,6","528,8","7,0","6,94","2,27"
T21051451,602,"576,3","8,5","5,75","2,10"
T21051461,881,"853,8","6,5","5,75","2,67"
T21051531,"509,2","488,7","6,8","6,30","2,05"
T21051541,"594,6","569,8","7,5","6,94","2,23"
T21051551,1186,"1152,6","7,4","5,75","2,70"
T21051561,978,"947,6","6,3","5,75","2,25"
T21051561,846,"815,8","7,3","5,05","2,13"
T21051731,"1335,4","1288,4","7,8","6,30","1,96"
T21051751,"863,4","836,7","7,7","6,30","2,19"
T21051761,1053,1022,"7,3","6,30","2,32"
T21051831,"859,8","829,7","6,9","7,40","2,50"
T21051841,"813,8","785,8","7,3","7,40","2,59"
T21051851,774,"750,5","6,9","7,40","2,00"
T21051861,951,"897,3","6,2","7,40","1,14"
T21051931,"912,2","877,1","8,4","4,89","2,55"
T21051951,"649,8","620,8","7,3",,"2,28"
T21051961,608,585,"7,5","4,89","2,18"
T21052031,"992,2","960,3","7,2","5,05","2,75"
T21052041,"818,2","789,7","5,8","4,89","1,80"
T21052051,474,"456,9","7,7","5,05","2,42"
T21052061,964,"932,8","6,3","5,05","2,34"
T21052131,"1219,2","1178,8","7,5","8,98","2,16"
T21052141,"866,4","833,9","6,8","5,87","1,86"
T21052151,967,939,"5,9","8,98","2,15"
T21052161,345,"328,2","6,7","8,98","2,25"
T21052231,"1116,8","1077,9","7,3","8,98","2,14"
T21052251,756,"729,9","7,2","6,11","2,53"
T21052251,756,"729,9","7,2","6,11","2,53"
T21052261,997,"971,5","6,6","5,87","2,34"
T21052531,530,"508,9","6,1","5,87","1,17"
T21052541,"382,8","363,4","6,8","6,11","2,62"
T21052541,"382,8","363,4","6,8","6,11","2,62"
T21052551,713,"691,3","7,1","6,11","1,95"
T21052551,713,"691,3","7,1","6,11","1,95"
T21052561,625,"605,8","7,7","6,11","2,24"
T21052561,625,"605,8","7,7","6,11","2,24"
T21052631,1000,"958,3","6,4","4,33","2,40"
T21052641,755,"721,1","6,3","4,33","2,00"
T21052651,913,"884,3","7,0","6,30","2,35"
T21052661,848,"823,5","5,8","4,33","2,63"
T21052731,"824,6","802,2","6,0","6,11","2,54"
T21052731,"824,6","802,2","6,0","6,11","2,54"
T21052741,"706,4",677,"6,1","6,30","2,24"
T21052761,557,"530,8","5,6","6,11","1,20"
T21052761,557,"530,8","5,6","6,11","1,20"
T21052831,"1032,6","989,1","7,1","5,72","1,60"
T21052841,"678,4","652,9","5,1","6,30","0,95"
T21052861,971,939,"7,0","5,72","2,35"
T21052931,"936,2","903,4","8,7","5,53","1,84"
T21052931,"936,2","903,4","8,7","5,53","1,84"
T21052931,1254,"1213,1","7,4","6,75","2,69"
T21052941,"779,4","749,2","6,4","5,53","2,40"
T21052941,"779,4","749,2","6,4","5,53","2,40"
T21053131,"1117,4","1082,5","6,3","6,75","2,25"
T21053141,"565,8","539,8","7,3","6,29","1,87"
T21053151,763,"736,1","8,0","5,72","2,19"
T21053161,842,"815,5","7,1","6,29","2,41"
T21060131,"847,8","774,8","6,2","5,86","1,86"
T21060131,"847,8","814,5","6,2","5,86","1,86"
T21060141,"902,2",871,"6,4","6,29","1,92"
T21060151,516,"501,9","7,1","5,53","2,52"
T21060151,516,"501,9","7,1","5,53","2,52"
T21060161,833,"722,3","6,0","5,86","2,55"
T21060161,833,809,"6,0","5,86","2,55"
T21060231,"1102,8","789,2","6,9","5,86","2,17"
T21060231,"1102,8","1070,1","6,9","5,86","2,17"
T21060241,"605,8","583,4","6,7","8,39","2,21"
T21060251,863,"811,2","4,2","8,39","1,13"
T21060261,503,"470,8","6,2","8,39","2,80"
T21060431,"1167,6","1120,9","5,0","6,78","1,47"
T21060431,"939,2","903,2","5,9","10,34","2,12"
T21060431,"1167,6","1120,9","5,0","6,78","1,47"
T21060441,"778,4","750,6","6,5","10,34","2,10"
T21060451,910,"878,3","6,5","10,34","2,48"
T21060531,"842,6","814,7","6,7","6,01","2,18"
T21060541,"1390,4","1340,4","7,5","10,34","2,01"
T21060551,877,"843,8","5,1","6,01","1,43"
T21060731,764,738,"6,3","6,01","2,50"
T21060741,"477,8","454,1","6,6","6,01","2,39"
T21060751,783,"756,6","6,5","8,39","2,33"
T21060831,"433,6","411,2","6,7","7,22","2,36"
T21060831,"433,6","411,2","6,7","7,22","2,36"
T21060841,"902,6","860,5","6,0","6,01","2,22"
T21060851,601,"574,6","7,2","7,22","1,78"
T21060851,601,"574,6","7,2","7,22","1,78"
T21060931,"1071,4","1035,6","6,0","8,20","1,55"
T21060931,"1071,4","1035,6","6,0","8,20","1,55"
T21061031,819,"781,2","6,4","7,22","2,00"
T21061031,819,"781,2","6,4","7,22","2,00"
T21061041,"1025,8","997,6","6,6","8,20","1,61"
T21061041,"1025,8","997,6","6,6","8,20","1,61"
T21061141,"658,2","638,2","9,3","8,20","1,81"
T21061141,"658,2","638,2","9,3","8,20","1,81"
T21061231,"1400,2","1358,1","6,3","6,78","2,40"
T21061231,"1010,8","977,8","7,3","7,79","1,66"
T21061231,"1400,2","1358,1","6,3","6,78","2,40"
T21061231,"1010,8","977,8","7,3","7,79","1,66"
T21061431,"594,4",568,"5,9","6,78","1,64"
T21061431,"594,4",568,"5,9","6,78","1,64"
T21061441,"626,4","604,5","7,1","7,22","1,78"
T21061441,"626,4","604,5","7,1","7,22","1,78"
T21061531,292,"282,4","9,1","7,79","2,28"
T21061531,292,"282,4","9,1","7,79","2,28"
T21061541,"426,6",568,"6,8","6,78","2,31"
T21061541,"426,6",568,"6,8","6,78","2,31"
T21061641,"403,8","389,8","7,7","7,79","2,34"
T21061641,"403,8","389,8","7,7","7,79","2,34"
T21061731,"563,4","543,4","6,6","8,66","1,96"
T21061841,"868,8","842,1","6,8","8,66","2,17"
T21061931,691,669,"6,7","7,79","2,17"
T21061931,691,669,"6,7","7,79","2,17"
T21061941,"762,2","735,8","6,1","7,79","2,43"
T21061941,"762,2","735,8","6,1","7,79","2,43"
T21061951,"189,4",183,"8,8","7,79","0,84"
T21061951,"189,4",183,"8,8","7,79","0,84"
T21062131,"527,8","509,6","7,3","8,66","2,63"
T21062141,"681,4","659,8","6,9","8,66","1,73"
T21062231,747,"722,3","6,6","6,13","2,28"
T21062241,803,"774,8","6,6","6,13","1,78"
T21062341,817,"789,2","7,6","6,13","2,19"
T21062431,"465,6","446,6","6,4","8,66","1,98"
T21062441,"1403,4","1358,8","4,8","3,16","1,46"
T21062441,"1403,4","1358,8","4,8","3,16","1,46"
T21062531,"647,2","620,3","6,8","8,66","1,25"
T21062541,"423,4","408,1","6,2","3,16","1,82"
T21062541,"423,4","408,1","6,2","3,16","1,82"
T21062631,"734,4","714,4","7,5","5,94","2,23"
T21062641,"492,4","477,1","8,0","3,16","1,68"
T21062641,"492,4","477,1","8,0","3,16","1,68"
T21062831,"760,8","726,5","6,4","5,62","1,48"
T21062841,"411,4","396,6","6,9","5,94","1,50"
T21063031,"1024,4","988,4","6,0","5,94","1,76"
T21063041,438,"420,3","7,7","5,62","2,14"
T21070141,486,"464,3","7,8","5,94","2,54"
T21070231,"853,8","827,2","6,3","5,62","2,42"
T21070241,"1056,6","1025,9","7,0","5,62","1,45"
T21070531,439,"422,2","7,5","5,62","2,21"
T21070541,"1324,4","1281,5","5,7","3,16","1,53"
T21070541,"1324,4","1281,5","5,7","3,16","1,53"
T21070941,"850,8","814,6","7,1","8,67","2,18"
T21070941,"850,8","814,6","7,1","8,67","2,18"
T21071931,1113,"1078,8","7,2","8,67","1,49"
T21071931,1113,"1078,8","7,2","8,67","1,49"
T21072031,530,509,"6,5","8,67","1,26"
T21072031,530,509,"6,5","8,67","1,26"
T21072041,681,"660,5","7,8","8,67","2,18"
T21072041,681,"660,5","7,8","8,67","2,18"
T21072441,1295,1259,"6,7","8,56","1,91"
T21072441,1295,1259,"6,7",,"1,91"
T21072631,"651,8","638,8","8,2","8,56","1,96"
T21072631,"651,8",,"8,2",,"1,96"
T21072651,225,"212,5",,"8,67",
T21072651,225,"212,5",,"8,67",
T21072831,"252,4",242,,"8,56",
T21072831,"252,4",242,,,
T21072841,"1798,5","1798,5","10,5",,"1,15"
T21072841,"1798,5","1798,5","10,5",,"1,15"
T21091531,"3269,4","3161,5","5,9","6,15","2,14"
T21091541,"837,6","794,6","5,3","6,15","2,33"
T21091631,675,649,"7,2","7,06","1,32"
T21091731,"938,8",890,"6,9","7,06","2,12"
T21091741,1107,"1046,7","6,2","7,06","2,31"
T21091831,823,790,"5,8","7,06","2,54"
T21091841,"717,6",686,"5,2","5,18","2,45"
T21092031,"986,2",950,"6,0","5,18","2,58"
T21092041,334,319,"6,8","8,56","2,34"
T21092131,"893,8",865,"5,7","5,18","2,63"
T21092141,"1143,8","1098,5","6,0","5,18","3,11"
T21092231,"802,2",758,"5,7","6,66","2,24"
T21092241,"895,8","856,5","5,9","6,66","2,39"
T21092251,661,614,"5,0","6,66","2,03"
T21092331,493,459,"5,7","7,55","1,84"
T21092351,539,495,"6,1","6,66","2,67"
T21092431,"860,8","860,8","5,7","7,55","2,54"
T21092441,636,581,"5,2","6,53","2,00"
T21092451,861,811,"5,4","7,55","2,30"
T21092461,455,416,"5,2","7,55","1,90"
T21092531,"857,4",808,"7,8","6,53","1,97"
T21092551,832,794,"6,4","6,53","2,16"
T21092561,393,358,,"6,53",
T21092731,"962,6",914,"6,4","8,62","1,99"
T21092741,"923,2","887,2","6,6","8,62","2,66"
T21092751,624,594,"5,6","8,62","1,81"
T21092761,458,419,"6,6","9,03","2,16"
T21092831,"970,6","929,6","5,8","6,79","2,11"
T21092841,698,669,"5,5","9,03","2,45"
T21092851,1042,1009,"5,5","9,03","2,34"
T21092861,702,662,"5,3","6,79","1,98"
T21092931,"951,8","904,8","5,5","7,19","2,48"
T21092941,"947,4","900,4","5,6","7,19","2,13"
T21092951,468,449,"5,8","7,19","2,66"
T21092961,440,409,"4,6","7,21","1,57"
T21093031,"799,2",763,"6,5","6,79","2,06"
T21093041,"450,8",424,"6,6","6,79","2,31"
T21093051,342,300,"6,2","7,19","2,48"
T21093051,639,647,"6,2","7,19","2,48"
T21093061,547,517,"6,3","6,79","2,61"
T21100131,"692,6",656,"6,9","7,21","2,44"
T21100131,"874,8","838,2","5,8","7,21","2,34"
T21100151,905,863,"6,1","7,21","2,56"
T21100161,888,888,"6,4","6,79","2,23"
T21100231,"583,6",1089,"6,8","8,25","2,63"
T21100241,"718,6","675,6","6,0","7,21","2,27"
T21100251,1044,1005,"5,7","8,25","2,74"
T21100261,247,223,,"7,21",
T21100341,"758,2",724,"6,3","6,53","1,85"
T21100431,"858,6",1089,"5,9","8,25","2,62"
T21100441,"970,4","970,4","5,8","9,33","2,63"
T21100451,1139,1089,"5,3","8,25","1,64"
T21100461,866,809,"5,0","8,25","2,27"
T21100531,800,763,"5,2","9,33","2,30"
T21100541,"469,8","443,8","5,7","8,00","2,13"
T21100551,1135,1093,"5,3","9,33","2,44"
T21100561,1058,1011,"5,5","9,33","2,03"
T21100631,870,"841,3","5,2","8,00","2,24"
T21100641,1218,"1166,6","5,3","8,00","2,81"
T21100651,985,"945,7","4,5","8,00","2,00"
T21100661,749,"700,9","4,5","8,00","1,67"
T21100731,"827,6","789,6","4,9",,"2,42"
T21100741,968,938,"4,9",,"2,11"
T21100751,1058,1031,"5,2",,"2,13"
T21100761,789,755,"5,2","8,11","2,27"
T21100831,"1269,2",1231,"5,3","5,52","2,17"
T21100831,"649,2","626,2","6,4","5,52","2,47"
T21100841,"902,8",866,"5,2","5,52","2,57"
T21100851,1056,1021,"5,3","8,11","2,59"
T21100861,1070,"1033,2","4,8","8,11","1,84"
T21100941,"869,8","837,8","5,7","7,85","2,06"
T21100951,726,714,"5,3","7,85","2,57"
T21100961,1297,1250,"5,2","7,85","2,08"
T21101131,"744,4",713,"5,4","7,85","2,19"
T21101141,937,906,"5,0","7,85","1,96"
T21101151,970,944,"5,7","5,67","1,77"
