Kod,Waga,Waga_Pz,Wilg,Piach,Olej
T19101651,720,"683,5",,"6,78","2,35"
T19101731,"790,2",,,"7,81","2,95"
T19101741,"918,4","867,7",,"6,34","1,98"
T19101751,687,"649,5",,"6,34","2,25"
T19101831,"977,6","932,2",,"6,55","2,25"
T19101841,"612,2","581,1",,"6,32",
T19101851,641,"607,6",,"6,34","1,90"
T19101931,"674,6","644,8",,"6,77","2,31"
T19101941,"1138,4","1095,4",,"6,32","2,06"
T19101951,1294,"1243,8",,"6,77","1,92"
T19101961,894,"846,5",,"6,32","2,83"
T19102131,1823,"1739,2",,"6,55","2,06"
T19102151,900,671,,"6,77","2,05"
T19102161,1090,"1028,2",,"4,98","2,15"
T19102231,"853,6","844,9",,"6,47","2,46"
T19102241,"822,8","782,7",,"5,78","2,00"
T19102251,908,"865,6",,"5,78","2,21"
T19102261,457,"458,3",,"7,81","3,13"
T19102331,"1224,6","988,4",,"7,14","2,50"
T19102341,998,,,"7,81","2,40"
T19102351,616,"582,3",,"5,78","2,56"
T19102431,"1191,2","1137,4",,"6,55","1,99"
T19102441,"624,4","595,3",,"7,14","3,10"
T19102451,"1036,4","983,4",,"4,98","2,14"
T19102461,849,"872,9",,"5,27","1,89"
T19102531,621,594,,"7,21","2,26"
T19102541,"955,4","994,7",,"7,21","1,63"
T19102631,"702,6","673,6",,"7,21","2,29"
T19102641,"1131,8","1079,6",,"6,75","1,88"
T19102651,482,"452,3",,"7,21","2,66"
T19102661,212,250,,"7,21","2,17"
T19102661,319,"252,2",,"6,75","2,17"
T19102831,984,"948,8",,"7,92","2,71"
T19102841,1063,"1019,6",,"5,27","2,13"
T19102931,"990,6","950,5",,"6,75","2,24"
T19102951,823,"781,3",,"7,21","2,36"
T19103031,"978,4","928,7",,"7,14","1,81"
T19103041,"738,8","756,2",,"6,75","2,26"
T19103051,900,"859,2",,"6,75","2,31"
T19103061,826,789,,"5,19","2,14"
T19103131,"835,8","793,7",,"7,76","1,89"
T19103141,937,"880,5",,"6,23","2,00"
T19103151,779,"740,5",,"5,19","2,20"
T19103161,502,"474,3",,"6,75","2,55"
T19110431,"878,6","832,4",,"6,23","2,31"
T19110441,"1030,4","988,7",,"6,91","2,11"
T19110451,691,"648,8",,"6,23","2,48"
T19110461,839,"788,5",,"5,19","2,37"
T19110531,"806,4","775,3",,"6,91","2,37"
T19110541,"473,6","447,1",,"5,19","2,00"
T19110551,"800,8","757,7",,"5,01","1,76"
T19110561,1113,"1119,9",,"5,01","2,80"
T19110631,"910,4","1023,6",,"9,42","1,99"
T19110641,984,939,,"6,91","2,23"
T19110661,854,"811,3",,"4,98","2,14"
T19110731,"1232,4","1194,9",,"6,25","2,20"
T19110741,1097,"983,8",,"9,42","1,76"
T19110751,613,"578,5",,"5,01","1,89"
T19110841,"1265,8","1148,7",,"6,40","1,89"
T19110851,773,"738,5",,"6,25","2,11"
T19110861,1133,1083,,"6,25","2,23"
T19110941,749,"720,6",,"6,88","2,25"
T19110951,"932,4","896,3",,"7,61","2,11"
T19111231,"819,4","795,3",,"6,40","3,46"
T19111241,"788,4","817,6",,"5,27","2,01"
T19111261,961,961,,"9,42","1,97"
T19111331,"468,4",437,,"7,76","1,99"
T19111341,1067,"904,5",,"6,40","2,25"
T19111351,670,"642,3",,"6,25","2,81"
T19111361,882,882,,"9,42","2,13"
T19111431,"773,6","804,2",,"5,27","2,37"
T19111441,729,"666,8",,"6,05","1,18"
T19111451,1212,"1176,2",,"6,40","1,71"
T19111461,894,"852,2",,"4,95","2,07"
T19111531,"662,6","699,3",,"6,05","2,30"
T19111541,"864,6","852,2",,"4,95","2,17"
T19111561,852,806,,"6,05","2,48"
T19111631,"888,4",849,,"4,95","2,25"
T19111641,"752,2","718,5",,"4,95","2,07"
T19111651,784,750,,"6,05","2,39"
T19111661,754,"713,2",,"6,05","2,48"
T19111831,"983,8","1146,6",,"9,42","2,26"
T19111841,"1057,8","1010,7",,"6,97","1,43"
T19111851,665,"613,5",,"7,00","1,88"
T19111861,1213,1163,,"7,00","2,21"
T19111931,"1020,4","978,7",,"4,95","2,28"
T19111941,1002,"962,2",,"7,00","2,34"
T19111951,1083,1024,,"5,29","2,07"
T19111961,1073,"835,2",,"5,27","2,42"
T19112031,782,731,"6,2","7,61","1,69"
T19112041,"996,2","949,8","5,4","7,61","2,11"
T19112051,1170,"1007,2",,"6,18","2,15"
T19112061,1048,1001,,"5,29","2,12"
T19112131,"774,4","667,8",,"6,97","2,33"
T19112141,"860,4","824,6","5,0","7,86","2,26"
T19112151,914,"877,3","5,9","7,86","2,34"
T19112161,614,"528,5",,"6,97","2,63"
T19112231,"1137,8",1097,"5,6","6,69","2,17"
T19112241,"1395,2","1339,5","4,7","7,86","2,50"
T19112251,809,"776,5","6,3","6,69","2,15"
T19112331,"1079,2","1043,7","4,7","6,05","2,23"
T19112341,"979,4","939,7","4,9","6,69","2,07"
T19112351,799,"839,5","5,6","6,05","2,01"
T19112351,"927,3",888,"6,3","6,05","2,41"
T19112361,838,"839,5","6,1","6,69","2,30"
T19112531,"943,6","943,6","8,1","7,08","2,25"
T19112551,698,"671,5","6,3","6,05","2,23"
T19112561,718,"673,5","6,0","6,05","2,28"
T19112631,"642,8","602,6","5,5","7,03","1,48"
T19112641,1089,"1044,8","5,6","7,03","2,38"
T19112651,778,743,"7,2","7,03","2,32"
T19112661,846,"798,6","7,4","7,03","2,22"
T19112741,1141,"1089,8","5,4","4,85","2,44"
T19112751,1066,"1029,3","6,5","4,85","2,13"
T19112761,695,"660,3","6,4","7,03","2,22"
T19112831,"562,6","661,1","5,3","4,85","2,65"
T19112841,"1038,6","989,9","4,9","5,91","2,27"
T19112851,563,"529,6","7,0","5,91","2,49"
T19112861,945,"847,5","7,3","4,85","2,61"
T19112931,"677,2","638,2","6,1","5,91","2,28"
T19112941,"1109,8",1065,"4,7","5,91","1,88"
T19112951,1194,"1197,8","6,0","5,91","2,29"
T19113031,"1015,8","975,6","4,6","6,71","2,07"
T19113032,1790,1790,,"4,82","1,07"
T19113041,"960,8","927,8","3,9","6,40","2,01"
T19113051,1098,"1043,2","6,0","6,71","2,21"
T19113061,421,"400,6","6,9","6,40","2,87"
T19120231,"1280,6","1238,4","6,0","5,63","2,09"
T19120241,582,"555,6","5,4","6,71","2,67"
T19120251,697,"674,8","5,2","6,40","2,63"
T19120261,753,"722,8","6,4","6,40","2,04"
T19120331,"2111,4",2038,"6,7","5,02","2,35"
T19120351,739,"790,6","6,7","5,02","2,63"
T19120361,1115,983,"6,1","5,63","2,08"
T19120431,"834,4","798,2","4,9","5,98","2,45"
T19120451,980,"936,5","6,4","5,98","2,29"
T19120461,1287,"1204,3","5,6","5,98","2,15"
T19120531,"670,2","523,1","6,1","5,98","2,58"
T19120541,"604,6","568,6","5,6","6,44","2,55"
T19120551,1153,"1117,5","6,4","5,98","2,38"
T19120561,948,"878,8","5,3","5,98","2,29"
T19120631,"399,4","378,2","7,6","6,44","2,66"
T19120641,"613,2","581,1","5,1","6,44","2,21"
T19120661,1082,"1048,3","5,7","6,44","1,94"
T19120731,"941,2","1021,8","5,6","4,98","2,17"
T19120751,838,"805,2","6,1","4,98","2,46"
T19120761,803,"767,8","6,6","6,23","2,24"
T19120931,"879,4","765,9","6,8","6,75","2,72"
T19120941,957,"913,6","5,2","6,75","2,14"
T19120951,1466,"1033,2","6,3","6,75","2,50"
T19120961,989,"1061,2","6,7","4,98","2,38"
T19121031,"1059,8","1015,3","6,5","6,75","2,24"
T19121041,"504,2","478,8","5,3","5,94","2,79"
T19121051,"1387,8","1228,2","6,0","6,53","2,03"
T19121131,"826,8",797,"6,2","5,94","2,23"
T19121141,"867,6","829,9","5,2","5,94","1,86"
T19121161,2160,1933,"7,2","5,94","2,25"
T19121231,477,"457,5","6,7","5,82","2,21"
T19121241,"1093,4","1050,4","4,3","5,82","2,15"
T19121251,417,400,"7,0","5,82","3,32"
T19121261,677,657,"6,5","5,82","2,53"
T19121331,"1214,8","1170,1","5,6","6,16","2,77"
T19121341,"611,8","586,4","7,3","6,16","2,09"
T19121351,730,694,"6,9","5,84","2,24"
T19121361,899,859,"7,3","6,16","2,41"
T19121431,"611,8","942,6","5,5","6,99","2,55"
T19121441,"583,8",557,"5,9","5,84","2,27"
T19121461,1498,1420,"7,4","5,84","2,09"
T19121631,"605,3","577,8","6,1","6,99","2,73"
T19121641,"203,2","192,8","6,1","6,24","2,94"
T19121651,1227,"1168,5","7,1","6,33","2,19"
T19121731,"905,8",865,"5,5","6,33","2,39"
T19121751,806,"771,6","6,5","6,33","2,29"
