Kilo,Data
"457,5",17.10.2019
"846,5",19.10.2019
"1095,5",19.10.2019
"865,5",22.10.2019
"782,5",22.10.2019
"582,5",23.10.2019
2641,23.10.2019
"595,5",24.10.2019
"673,5",26.10.2019
"452,5",26.10.2019
502,26.10.2019
"1375,5",29.10.2019
"950,5",29.10.2019
"756,5",30.10.2019
1504,30.10.2019
"928,5",30.10.2019
"474,5",31.10.2019
"880,5",31.10.2019
"788,5",4.11.2019
649,4.11.2019
"832,5",4.11.2019
1128,5.11.2019
"738,5",8.11.2019
"795,5",12.11.2019
4237,14.11.2019
"1750,5",14.11.2019
"5369,5",14.11.2019
1440,15.11.2019
"1947,5",15.11.2019
"1609,5",15.11.2019
750,16.11.2019
"718,5",16.11.2019
"713,5",16.11.2019
"613,5",18.11.2019
962,19.11.2019
731,20.11.2019
1001,20.11.2019
"4112,5",21.11.2019
5227,21.11.2019
"824,5",21.11.2019
"3240,5",22.11.2019
"776,5",22.11.2019
"1339,5",22.11.2019
"797,5",23.11.2019
"839,5",23.11.2019
"1043,5",23.11.2019
"1697,5",25.11.2019
"671,5",25.11.2019
1045,26.11.2019
2602,26.11.2019
1693,26.11.2019
"3392,5",27.11.2019
"1029,5",27.11.2019
1090,27.11.2019
"994,5",28.11.2019
"1967,5",28.11.2019
1065,29.11.2019
4997,29.11.2019
928,30.11.2019
"400,5",30.11.2019
"2500,5",30.11.2019
723,2.12.2019
"1238,5",2.12.2019
983,3.12.2019
798,4.12.2019
"1117,5",5.12.2019
2628,5.12.2019
"568,5",5.12.2019
"1048,5",6.12.2019
"378,5",6.12.2019
"805,5",7.12.2019
"2916,8",9.12.2019
164,9.12.2019
479,10.12.2019
797,11.12.2019
830,11.12.2019
"1554,5",12.12.2019
657,12.12.2019
"457,5",12.12.2019
400,12.12.2019
"1050,5",12.12.2019
"2473,5",13.12.2019
1745,13.12.2019
1170,13.12.2019
"1230,5",14.12.2019
1420,14.12.2019
557,14.12.2019
"2650,5",14.12.2019
578,16.12.2019
193,16.12.2019
"798,6",17.12.2019
"2183,5",17.12.2019
"990,5",18.12.2019
"345,5",18.12.2019
924,19.12.2019
687,19.12.2019
"896,5",20.12.2019
"927,5",20.12.2019
"1097,5",21.12.2019
666,21.12.2019
988,23.12.2019
"646,5",23.12.2019
2923,23.12.2019
1570,23.12.2019
2775,27.12.2019
"837,5",28.12.2019
409,30.12.2019
2787,30.12.2019
4215,31.12.2019
1793,31.12.2019
669,4.01.2020
"1198,5",4.01.2020
"553,5",7.01.2020
"5745,5",7.01.2020
"3417,5",7.01.2020
"886,5",8.01.2020
"975,5",8.01.2020
"652,5",9.01.2020
944,9.01.2020
695,9.01.2020
650,10.01.2020
614,11.01.2020
"807,5",11.01.2020
"1220,5",11.01.2020
823,11.01.2020
3216,13.01.2020
587,13.01.2020
"974,5",13.01.2020
949,14.01.2020
"1053,5",14.01.2020
2996,14.01.2020
1225,14.01.2020
1087,14.01.2020
907,15.01.2020
"884,5",15.01.2020
974,15.01.2020
650,16.01.2020
1000,17.01.2020
"966,5",17.01.2020
"880,5",18.01.2020
475,18.01.2020
"753,5",18.01.2020
"1832,5",20.01.2020
"825,5",20.01.2020
2295,20.01.2020
"920,5",21.01.2020
626,21.01.2020
918,21.01.2020
1679,22.01.2020
592,22.01.2020
1159,22.01.2020
1237,22.01.2020
529,22.01.2020
710,23.01.2020
1076,23.01.2020
773,23.01.2020
"871,5",23.01.2020
"829,5",24.01.2020
743,24.01.2020
1017,24.01.2020
1292,24.01.2020
"1585,5",25.01.2020
654,25.01.2020
1161,25.01.2020
588,27.01.2020
814,27.01.2020
"594,5",27.01.2020
962,27.01.2020
"2196,5",28.01.2020
1047,28.01.2020
"866,5",28.01.2020
"789,5",29.01.2020
"770,5",29.01.2020
790,29.01.2020
2362,29.01.2020
1300,30.01.2020
3392,30.01.2020
"1137,5",30.01.2020
747,30.01.2020
"737,5",30.01.2020
1379,30.01.2020
1199,31.01.2020
468,31.01.2020
730,31.01.2020
"854,5",1.02.2020
669,1.02.2020
1771,1.02.2020
398,3.02.2020
"829,5",3.02.2020
739,3.02.2020
"1161,5",4.02.2020
"1024,5",4.02.2020
736,5.02.2020
828,5.02.2020
"1532,5",5.02.2020
"1271,5",5.02.2020
"838,5",6.02.2020
1071,6.02.2020
"957,5",6.02.2020
"672,5",6.02.2020
"699,5",7.02.2020
1850,7.02.2020
"849,5",7.02.2020
493,7.02.2020
1224,8.02.2020
932,8.02.2020
"644,5",10.02.2020
862,10.02.2020
1009,10.02.2020
"823,5",11.02.2020
612,11.02.2020
706,11.02.2020
1098,11.02.2020
"975,5",12.02.2020
"769,5",12.02.2020
"1348,5",12.02.2020
"772,5",13.02.2020
"849,5",14.02.2020
592,14.02.2020
921,14.02.2020
"927,5",15.02.2020
2551,15.02.2020
614,17.02.2020
"858,5",17.02.2020
924,17.02.2020
"611,5",18.02.2020
630,18.02.2020
"727,5",18.02.2020
1218,18.02.2020
988,19.02.2020
"845,5",19.02.2020
"734,5",20.02.2020
"648,5",21.02.2020
"1123,5",21.02.2020
"514,5",22.02.2020
"473,5",22.02.2020
"316,5",22.02.2020
"2320,5",24.02.2020
"2007,5",24.02.2020
"368,5",24.02.2020
"591,5",24.02.2020
599,25.02.2020
1558,25.02.2020
821,26.02.2020
233,26.02.2020
"2933,5",26.02.2020
"2364,5",26.02.2020
3588,27.02.2020
"548,5",27.02.2020
"4268,5",27.02.2020
"923,5",28.02.2020
2059,28.02.2020
1001,28.02.2020
1099,29.02.2020
"345,5",29.02.2020
"1826,5",2.03.2020
763,2.03.2020
2420,3.03.2020
645,3.03.2020
"1918,5",3.03.2020
2700,3.03.2020
3775,3.03.2020
1046,3.03.2020
"1948,5",3.03.2020
908,4.03.2020
941,4.03.2020
"996,5",4.03.2020
"2680,5",4.03.2020
"991,5",5.03.2020
837,5.03.2020
565,5.03.2020
1001,6.03.2020
1184,6.03.2020
1647,7.03.2020
715,7.03.2020
1134,7.03.2020
"1112,5",7.03.2020
854,9.03.2020
880,9.03.2020
1100,9.03.2020
"859,5",10.03.2020
622,10.03.2020
"804,5",11.03.2020
844,11.03.2020
"863,5",12.03.2020
"981,5",12.03.2020
978,12.03.2020
1871,13.03.2020
838,13.03.2020
765,14.03.2020
"1126,5",14.03.2020
660,16.03.2020
"1081,5",16.03.2020
928,16.03.2020
1067,16.03.2020
1437,17.03.2020
1916,17.03.2020
794,18.03.2020
605,18.03.2020
"1929,5",18.03.2020
"929,5",19.03.2020
"627,5",20.03.2020
"2551,5",21.03.2020
"896,5",21.03.2020
1047,23.03.2020
"890,5",23.03.2020
598,23.03.2020
3230,24.03.2020
"971,5",26.03.2020
"1735,5",26.03.2020
"1607,5",27.03.2020
"6107,5",27.03.2020
"372,5",27.03.2020
"1348,5",28.03.2020
"924,5",28.03.2020
"1194,5",30.03.2020
531,30.03.2020
694,30.03.2020
703,31.03.2020
"3716,5",31.03.2020
"715,5",1.04.2020
"903,5",1.04.2020
"756,5",3.04.2020
"2669,5",3.04.2020
2036,3.04.2020
1761,4.04.2020
2067,4.04.2020
1250,4.04.2020
501,4.04.2020
1615,6.04.2020
"1520,5",6.04.2020
"574,5",6.04.2020
