Kilo,Data
"903,5",4.06.2021
871,5.06.2021
"814,5",5.06.2021
736,7.06.2021
956,7.06.2021
738,7.06.2021
"2620,5",9.06.2021
1121,9.06.2021
"781,5",10.06.2021
"997,5",10.06.2021
1213,11.06.2021
"2698,5",12.06.2021
"1838,5",12.06.2021
"604,5",14.06.2021
568,14.06.2021
980,15.06.2021
"282,5",15.06.2021
390,16.06.2021
"543,5",17.06.2021
669,19.06.2021
736,19.06.2021
183,19.06.2021
"509,5",21.06.2021
660,21.06.2021
775,22.06.2021
"722,5",22.06.2021
"446,5",24.06.2021
1359,24.06.2021
"620,5",25.06.2021
"408,5",25.06.2021
"714,5",26.06.2021
"1209,5",30.06.2021
"464,5",1.07.2021
1900,2.07.2021
1816,2.07.2021
"1281,5",5.07.2021
"422,5",5.07.2021
842,9.07.2021
1079,19.07.2021
"660,5",20.07.2021
509,20.07.2021
1259,24.07.2021
"212,5",26.07.2021
"1798,5",28.07.2021
242,28.07.2021
795,15.09.2021
"3161,5",17.09.2021
890,17.09.2021
"1046,7",17.09.2021
614,22.09.2021
"856,5",22.09.2021
459,23.09.2021
358,25.09.2021
594,27.09.2021
669,28.09.2021
930,28.09.2021
914,29.09.2021
1260,29.09.2021
409,29.09.2021
763,30.09.2021
840,30.09.2021
1507,30.09.2021
2719,30.09.2021
223,2.10.2021
1799,2.10.2021
1089,4.10.2021
"2333,5",4.10.2021
2020,5.10.2021
1280,5.10.2021
444,5.10.2021
2061,6.10.2021
2265,6.10.2021
1704,6.10.2021
1031,7.10.2021
790,7.10.2021
938,7.10.2021
1021,8.10.2021
1231,8.10.2021
714,9.10.2021
838,9.10.2021
713,11.10.2021
2302,11.10.2021
"691,5",12.10.2021
1154,13.10.2021
1117,13.10.2021
"1173,5",14.10.2021
"660,5",14.10.2021
"799,5",14.10.2021
822,15.10.2021
637,15.10.2021
1185,16.10.2021
661,16.10.2021
"1616,5",16.10.2021
2479,18.10.2021
712,18.10.2021
"951,5",18.10.2021
695,18.10.2021
"502,5",19.10.2021
"2739,5",19.10.2021
1135,19.10.2021
"2073,9",19.10.2021
1359,20.10.2021
1441,20.10.2021
"1019,5",20.10.2021
1041,20.10.2021
852,21.10.2021
1178,21.10.2021
768,22.10.2021
498,22.10.2021
1300,22.10.2021
"1370,5",22.10.2021
853,23.10.2021
2946,23.10.2021
990,23.10.2021
"1120,5",25.10.2021
1002,25.10.2021
"1525,5",26.10.2021
846,26.10.2021
816,27.10.2021
984,27.10.2021
885,27.10.2021
2728,28.10.2021
1232,29.10.2021
871,30.10.2021
840,30.10.2021
"793,8",30.10.2021
"733,5",30.10.2021
"2606,5",3.11.2021
1796,3.11.2021
1098,4.11.2021
1017,4.11.2021
1864,4.11.2021
2953,4.11.2021
1430,5.11.2021
944,5.11.2021
1257,5.11.2021
520,6.11.2021
816,6.11.2021
1751,6.11.2021
1812,8.11.2021
2256,8.11.2021
837,9.11.2021
"1129,5",9.11.2021
2177,10.11.2021
3197,12.11.2021
674,13.11.2021
969,13.11.2021
944,15.11.2021
1118,15.11.2021
1611,15.11.2021
1704,16.11.2021
1585,16.11.2021
"3079,5",16.11.2021
"2193,5",17.11.2021
1142,17.11.2021
661,18.11.2021
"1111,5",18.11.2021
2175,19.11.2021
709,19.11.2021
702,19.11.2021
1926,20.11.2021
1525,20.11.2021
950,20.11.2021
952,20.11.2021
1367,22.11.2021
1888,22.11.2021
1079,22.11.2021
750,23.11.2021
2643,23.11.2021
1741,23.11.2021
1098,23.11.2021
638,24.11.2021
786,24.11.2021
759,25.11.2021
1227,25.11.2021
1477,25.11.2021
867,26.11.2021
498,26.11.2021
851,27.11.2021
842,27.11.2021
709,27.11.2021
751,29.11.2021
700,29.11.2021
930,29.11.2021
"2043,5",29.11.2021
822,30.11.2021
"1505,5",1.12.2021
586,1.12.2021
1313,1.12.2021
1729,1.12.2021
1144,2.12.2021
889,2.12.2021
694,2.12.2021
"2610,5",3.12.2021
595,3.12.2021
1054,4.12.2021
2041,4.12.2021
981,4.12.2021
530,7.12.2021
794,9.12.2021
1759,9.12.2021
"1014,5",10.12.2021
1795,10.12.2021
689,10.12.2021
770,10.12.2021
"855,5",11.12.2021
"1371,5",13.12.2021
1009,13.12.2021
1905,14.12.2021
1308,14.12.2021
818,14.12.2021
856,15.12.2021
918,16.12.2021
598,16.12.2021
1170,16.12.2021
625,16.12.2021
1724,17.12.2021
2309,17.12.2021
"742,5",17.12.2021
"897,5",17.12.2021
"1066,5",18.12.2021
1210,18.12.2021
1645,20.12.2021
337,20.12.2021
1001,20.12.2021
"2191,5",21.12.2021
701,22.12.2021
845,22.12.2021
946,22.12.2021
2041,23.12.2021
791,27.12.2021
423,29.12.2021
687,29.12.2021
1472,30.12.2021
2713,30.12.2021
767,30.12.2021
1382,31.12.2021
593,3.01.2022
"598,5",4.01.2022
701,4.01.2022
1255,4.01.2022
1407,7.01.2022
1146,7.01.2022
949,8.01.2022
940,8.01.2022
1259,8.01.2022
483,10.01.2022
537,10.01.2022
932,10.01.2022
788,11.01.2022
1024,11.01.2022
1540,11.01.2022
2513,12.01.2022
1136,12.01.2022
"934,5",12.01.2022
"4400,5",13.01.2022
2369,13.01.2022
1416,13.01.2022
740,13.01.2022
1051,13.01.2022
767,14.01.2022
1023,15.01.2022
"1790,5",15.01.2022
283,17.01.2022
1602,17.01.2022
1205,17.01.2022
5196,18.01.2022
781,18.01.2022
"1201,5",18.01.2022
869,19.01.2022
610,19.01.2022
1756,20.01.2022
541,20.01.2022
842,22.01.2022
1049,22.01.2022
1660,22.01.2022
814,24.01.2022
"1520,5",25.01.2022
1091,25.01.2022
986,26.01.2022
1093,26.01.2022
382,29.01.2022
341,29.01.2022
897,29.01.2022
"4375,5",31.01.2022
1156,31.01.2022
1182,31.01.2022
2152,1.02.2022
1005,1.02.2022
"2379,5",1.02.2022
"830,5",1.02.2022
925,3.02.2022
873,4.02.2022
1504,4.02.2022
1314,5.02.2022
1058,5.02.2022
1849,5.02.2022
"422,5",7.02.2022
1083,7.02.2022
"1202,4",7.02.2022
1108,8.02.2022
839,8.02.2022
4942,9.02.2022
985,9.02.2022
"606,5",10.02.2022
761,10.02.2022
1939,10.02.2022
1368,11.02.2022
1224,11.02.2022
"276,7",12.02.2022
"321,5",12.02.2022
"825,3",14.02.2022
835,15.02.2022
"1048,5",16.02.2022
900,16.02.2022
1528,16.02.2022
834,16.02.2022
628,17.02.2022
627,17.02.2022
"1067,5",17.02.2022
500,17.02.2022
1036,18.02.2022
"1572,5",18.02.2022
1107,19.02.2022
"1775,5",19.02.2022
1563,19.02.2022
"1574,5",21.02.2022
466,21.02.2022
1093,21.02.2022
1033,21.02.2022
4588,21.02.2022
1027,22.02.2022
1282,22.02.2022
1031,28.02.2022
836,28.02.2022
"3043,5",28.02.2022
"1505,5",1.03.2022
"648,5",1.03.2022
2111,2.03.2022
"766,5",2.03.2022
"941,5",2.03.2022
919,3.03.2022
2467,3.03.2022
2124,4.03.2022
741,4.03.2022
"870,5",4.03.2022
1868,5.03.2022
712,5.03.2022
1242,5.03.2022
831,7.03.2022
"3197,5",7.03.2022
1225,7.03.2022
"1235,5",8.03.2022
925,9.03.2022
"940,5",9.03.2022
654,10.03.2022
1468,10.03.2022
933,10.03.2022
"1248,5",11.03.2022
840,12.03.2022
"1061,5",12.03.2022
1228,12.03.2022
754,12.03.2022
810,14.03.2022
"3365,5",14.03.2022
"422,5",14.03.2022
1263,15.03.2022
1795,15.03.2022
"2206,5",16.03.2022
409,16.03.2022
1037,17.03.2022
815,17.03.2022
1083,18.03.2022
915,18.03.2022
"737,5",19.03.2022
"507,5",19.03.2022
2063,21.03.2022
1297,21.03.2022
1861,22.03.2022
"799,5",22.03.2022
"1479,5",23.03.2022
1885,23.03.2022
376,24.03.2022
2297,24.03.2022
634,26.03.2022
"1479,5",26.03.2022
"798,5",26.03.2022
998,28.03.2022
1214,28.03.2022
"1192,5",28.03.2022
2265,28.03.2022
"582,5",30.03.2022
"5322,5",30.03.2022
756,30.03.2022
1212,30.03.2022
"2211,5",30.03.2022
650,31.03.2022
4807,1.04.2022
2444,1.04.2022
"950,5",1.04.2022
1434,2.04.2022
1572,2.04.2022
2514,4.04.2022
977,4.04.2022
"2476,5",5.04.2022
"1540,5",5.04.2022
1276,5.04.2022
"639,5",5.04.2022
562,6.04.2022
1271,6.04.2022
"2095,5",6.04.2022
"1739,5",7.04.2022
732,7.04.2022
2752,8.04.2022
1026,8.04.2022
1660,8.04.2022
497,9.04.2022
"2307,5",9.04.2022
961,9.04.2022
2629,11.04.2022
"1115,5",11.04.2022
2176,11.04.2022
"1501,5",11.04.2022
"1102,5",12.04.2022
"647,5",12.04.2022
2596,12.04.2022
"868,5",12.04.2022
1309,12.04.2022
396,13.04.2022
"1181,5",13.04.2022
641,13.04.2022
469,13.04.2022
972,14.04.2022
976,14.04.2022
1020,14.04.2022
664,19.04.2022
"911,5",19.04.2022
493,19.04.2022
400,19.04.2022
1105,19.04.2022
"1501,5",20.04.2022
677,20.04.2022
1149,21.04.2022
626,21.04.2022
608,21.04.2022
"765,5",22.04.2022
891,22.04.2022
312,22.04.2022
"674,5",23.04.2022
1487,23.04.2022
978,23.04.2022
"693,5",25.04.2022
704,25.04.2022
650,25.04.2022
1317,25.04.2022
727,26.04.2022
"2087,5",26.04.2022
1222,26.04.2022
1165,26.04.2022
860,27.04.2022
908,27.04.2022
551,28.04.2022
777,28.04.2022
1307,28.04.2022
660,29.04.2022
874,29.04.2022
995,29.04.2022
882,30.04.2022
"1026,5",30.04.2022
"740,5",30.04.2022
"1192,5",2.05.2022
803,2.05.2022
862,4.05.2022
818,4.05.2022
631,5.05.2022
497,5.05.2022
"1397,5",6.05.2022
953,6.05.2022
"500,5",6.05.2022
551,7.05.2022
1090,7.05.2022
1015,7.05.2022
1066,9.05.2022
1034,9.05.2022
"846,5",9.05.2022
"669,5",9.05.2022
1537,10.05.2022
347,11.05.2022
629,12.05.2022
560,13.05.2022
673,13.05.2022
1004,14.05.2022
971,16.05.2022
1097,16.05.2022
742,18.05.2022
1545,18.05.2022
897,19.05.2022
908,19.05.2022
441,20.05.2022
"519,5",21.05.2022
662,24.05.2022
"972,5",24.05.2022
1774,25.05.2022
3150,25.05.2022
1761,25.05.2022
800,26.05.2022
849,27.05.2022
469,27.05.2022
800,27.05.2022
1402,1.06.2022
1158,9.06.2022
"1627,5",10.06.2022
504,11.06.2022
378,14.06.2022
"727,5",21.06.2022
465,22.06.2022
416,24.06.2022
251,30.06.2022
161,2.07.2022
2154,2.07.2022
1284,13.07.2022
"634,5",13.07.2022
347,21.07.2022
139,13.09.2022
136,13.09.2022
"1481,4",19.09.2022
332,19.09.2022
580,19.09.2022
361,20.09.2022
652,22.09.2022
573,22.09.2022
817,23.09.2022
"897,5",24.09.2022
896,24.09.2022
672,26.09.2022
1206,27.09.2022
675,27.09.2022
"731,5",28.09.2022
1136,29.09.2022
1377,30.09.2022
"3819,5",1.10.2022
374,1.10.2022
828,4.10.2022
1218,4.10.2022
282,5.10.2022
499,5.10.2022
"789,5",6.10.2022
646,6.10.2022
948,7.10.2022
"2607,5",7.10.2022
"1524,5",7.10.2022
"986,5",8.10.2022
"1192,5",10.10.2022
841,10.10.2022
"504,5",11.10.2022
952,11.10.2022
1877,11.10.2022
1765,12.10.2022
"1705,5",12.10.2022
777,13.10.2022
1276,13.10.2022
1607,14.10.2022
1402,15.10.2022
"870,5",15.10.2022
"979,5",17.10.2022
1190,17.10.2022
697,17.10.2022
"945,5",17.10.2022
"1395,5",18.10.2022
"831,5",18.10.2022
723,18.10.2022
2060,18.10.2022
1839,19.10.2022
"1904,5",19.10.2022
620,20.10.2022
725,20.10.2022
1381,21.10.2022
750,21.10.2022
1450,21.10.2022
1190,22.10.2022
713,24.10.2022
1050,24.10.2022
424,25.10.2022
1359,25.10.2022
670,26.10.2022
2358,27.10.2022
773,27.10.2022
270,28.10.2022
1759,28.10.2022
609,28.10.2022
1641,29.10.2022
1038,29.10.2022
"642,5",31.10.2022
1468,31.10.2022
"820,5",31.10.2022
"1534,5",3.11.2022
889,3.11.2022
836,3.11.2022
1723,4.11.2022
"1412,5",4.11.2022
1263,4.11.2022
875,5.11.2022
1082,5.11.2022
3681,5.11.2022
856,7.11.2022
984,9.11.2022
657,9.11.2022
2791,12.11.2022
1121,14.11.2022
"1066,5",14.11.2022
"1499,5",15.11.2022
661,15.11.2022
"2829,5",16.11.2022
1203,17.11.2022
"3538,5",17.11.2022
"2361,5",18.11.2022
3065,18.11.2022
1049,19.11.2022
"712,5",19.11.2022
1120,21.11.2022
481,21.11.2022
2020,21.11.2022
391,21.11.2022
"3193,5",21.11.2022
"897,5",21.11.2022
"1356,5",21.11.2022
527,22.11.2022
2149,23.11.2022
616,23.11.2022
846,23.11.2022
388,24.11.2022
445,24.11.2022
867,25.11.2022
"749,5",25.11.2022
"682,5",26.11.2022
609,28.11.2022
2296,28.11.2022
"979,5",28.11.2022
1189,28.11.2022
"623,5",29.11.2022
"917,5",29.11.2022
1052,29.11.2022
2225,29.11.2022
"1245,5",29.11.2022
"364,5",30.11.2022
1448,1.12.2022
1658,1.12.2022
778,2.12.2022
876,2.12.2022
735,2.12.2022
991,2.12.2022
4052,3.12.2022
568,3.12.2022
543,3.12.2022
821,3.12.2022
955,5.12.2022
"2026,5",5.12.2022
"974,5",5.12.2022
862,5.12.2022
3742,5.12.2022
"1136,5",6.12.2022
575,6.12.2022
"1249,5",7.12.2022
983,7.12.2022
"1389,6",7.12.2022
"2314,7",9.12.2022
954,9.12.2022
9279,9.12.2022
"766,5",10.12.2022
"1724,5",10.12.2022
"680,5",12.12.2022
"974,5",12.12.2022
"846,5",12.12.2022
710,13.12.2022
1588,13.12.2022
1930,13.12.2022
1042,13.12.2022
1092,13.12.2022
2307,16.12.2022
"620,5",16.12.2022
955,17.12.2022
963,20.12.2022
782,20.12.2022
1841,21.12.2022
1980,23.12.2022
"1301,5",28.12.2022
2410,29.12.2022
"2361,2",29.12.2022
"1087,5",30.12.2022
653,30.12.2022
1424,30.12.2022
740,31.12.2022
781,31.12.2022
1990,31.12.2022
"639,5",2.01.2023
1534,2.01.2023
817,2.01.2023
1804,3.01.2023
877,3.01.2023
"942,5",4.01.2023
1153,4.01.2023
1099,4.01.2023
2554,4.01.2023
727,5.01.2023
"1664,5",5.01.2023
"718,5",5.01.2023
"518,5",5.01.2023
583,7.01.2023
"793,5",7.01.2023
975,7.01.2023
1100,7.01.2023
1182,9.01.2023
980,9.01.2023
371,9.01.2023
867,10.01.2023
1032,10.01.2023
"668,5",10.01.2023
764,11.01.2023
"632,5",11.01.2023
1589,12.01.2023
599,12.01.2023
1035,13.01.2023
835,13.01.2023
1005,13.01.2023
"2080,5",14.01.2023
738,14.01.2023
"586,5",14.01.2023
685,16.01.2023
"1672,5",16.01.2023
"719,5",17.01.2023
1151,17.01.2023
988,17.01.2023
855,17.01.2023
1037,18.01.2023
"956,5",18.01.2023
1057,18.01.2023
"1003,5",19.01.2023
2135,19.01.2023
"943,5",19.01.2023
1237,20.01.2023
"580,5",20.01.2023
672,20.01.2023
920,21.01.2023
"1165,5",21.01.2023
3404,23.01.2023
"2520,5",23.01.2023
939,23.01.2023
1000,24.01.2023
656,24.01.2023
2682,30.01.2023
2683,30.01.2023
"528,5",30.01.2023
"882,5",30.01.2023
2065,31.01.2023
779,31.01.2023
1000,31.01.2023
"986,5",31.01.2023
2658,31.01.2023
1140,31.01.2023
"1089,5",1.02.2023
"1235,5",3.02.2023
674,3.02.2023
1015,3.02.2023
2681,3.02.2023
"953,5",4.02.2023
"657,5",4.02.2023
1278,4.02.2023
"621,5",4.02.2023
1843,6.02.2023
"1739,5",6.02.2023
1063,6.02.2023
1044,6.02.2023
"2427,3",6.02.2023
"896,5",7.02.2023
4928,7.02.2023
"978,5",7.02.2023
536,8.02.2023
806,9.02.2023
945,9.02.2023
"709,5",10.02.2023
1198,10.02.2023
"605,8",10.02.2023
"1689,5",11.02.2023
"991,5",11.02.2023
2054,11.02.2023
556,13.02.2023
747,13.02.2023
721,13.02.2023
1209,13.02.2023
"801,5",14.02.2023
"2292,5",14.02.2023
"1990,5",15.02.2023
835,16.02.2023
"1196,5",16.02.2023
1480,16.02.2023
733,17.02.2023
"806,5",17.02.2023
856,17.02.2023
583,18.02.2023
561,18.02.2023
"2713,5",18.02.2023
"1088,5",18.02.2023
"419,5",18.02.2023
"1802,5",20.02.2023
1164,20.02.2023
572,20.02.2023
1516,21.02.2023
834,21.02.2023
1499,21.02.2023
"818,5",22.02.2023
"3878,5",22.02.2023
841,23.02.2023
966,23.02.2023
495,24.02.2023
1053,24.02.2023
"2417,5",25.02.2023
"619,5",25.02.2023
"836,5",25.02.2023
1141,25.02.2023
994,27.02.2023
1025,28.02.2023
718,28.02.2023
"2818,5",28.02.2023
2163,28.02.2023
"1051,5",1.03.2023
"1014,5",1.03.2023
611,1.03.2023
"737,5",2.03.2023
"577,5",3.03.2023
"624,5",3.03.2023
1792,3.03.2023
794,3.03.2023
"874,5",4.03.2023
"858,5",4.03.2023
279,6.03.2023
"792,5",6.03.2023
"531,5",6.03.2023
"620,5",8.03.2023
604,8.03.2023
3280,8.03.2023
"1140,5",8.03.2023
1045,8.03.2023
2760,9.03.2023
743,9.03.2023
"872,5",9.03.2023
"774,5",10.03.2023
"1344,5",10.03.2023
"1218,5",11.03.2023
"1516,5",11.03.2023
"645,5",11.03.2023
"2382,5",11.03.2023
"2703,5",11.03.2023
"1516,4",11.03.2023
1032,13.03.2023
543,13.03.2023
"798,5",13.03.2023
"1119,5",13.03.2023
"6642,5",14.03.2023
"749,5",15.03.2023
271,15.03.2023
1081,16.03.2023
516,16.03.2023
"1907,5",17.03.2023
"894,5",17.03.2023
909,17.03.2023
"898,5",18.03.2023
311,18.03.2023
"787,5",18.03.2023
"1285,5",20.03.2023
"1024,5",20.03.2023
"1284,5",20.03.2023
626,21.03.2023
898,21.03.2023
"1046,5",22.03.2023
1101,22.03.2023
1186,22.03.2023
2028,23.03.2023
790,23.03.2023
1861,24.03.2023
1799,24.03.2023
690,27.03.2023
"894,5",27.03.2023
791,27.03.2023
"2745,5",27.03.2023
736,28.03.2023
731,28.03.2023
1153,29.03.2023
822,29.03.2023
"536,5",29.03.2023
855,30.03.2023
628,30.03.2023
"735,5",30.03.2023
"1255,5",30.03.2023
676,31.03.2023
"927,5",31.03.2023
"2985,5",31.03.2023
878,1.04.2023
1300,1.04.2023
"1039,5",1.04.2023
1069,3.04.2023
"563,5",3.04.2023
"1159,5",3.04.2023
1437,3.04.2023
970,4.04.2023
1270,4.04.2023
768,5.04.2023
1572,5.04.2023
"724,5",6.04.2023
"1849,5",6.04.2023
"636,5",6.04.2023
875,6.04.2023
1699,11.04.2023
863,11.04.2023
594,11.04.2023
"1290,5",12.04.2023
"1259,5",12.04.2023
"725,5",13.04.2023
1094,13.04.2023
699,13.04.2023
"597,5",14.04.2023
1584,14.04.2023
1829,14.04.2023
1376,15.04.2023
463,15.04.2023
"1745,5",17.04.2023
"823,7",17.04.2023
"855,6",17.04.2023
"792,8",18.04.2023
1916,18.04.2023
1871,18.04.2023
1002,18.04.2023
3308,19.04.2023
"1707,5",19.04.2023
"707,5",19.04.2023
"1003,5",19.04.2023
671,20.04.2023
"792,5",21.04.2023
"844,5",21.04.2023
"1165,5",21.04.2023
1901,22.04.2023
1053,24.04.2023
"1159,5",24.04.2023
737,25.04.2023
"1067,5",25.04.2023
964,25.04.2023
"884,5",25.04.2023
902,26.04.2023
"1057,5",26.04.2023
"814,1",26.04.2023
1030,27.04.2023
1707,28.04.2023
694,28.04.2023
796,29.04.2023
1543,29.04.2023
1033,29.04.2023
1205,1.05.2023
"1606,5",1.05.2023
1898,1.05.2023
499,2.05.2023
855,2.05.2023
"2898,5",2.05.2023
826,4.05.2023
984,4.05.2023
1200,5.05.2023
736,5.05.2023
"1714,5",6.05.2023
957,6.05.2023
544,6.05.2023
579,6.05.2023
903,8.05.2023
"1547,5",8.05.2023
"2194,5",8.05.2023
"724,5",8.05.2023
2384,9.05.2023
974,9.05.2023
954,9.05.2023
903,9.05.2023
680,10.05.2023
222,10.05.2023
999,11.05.2023
740,11.05.2023
668,11.05.2023
972,11.05.2023
"1035,5",12.05.2023
1471,12.05.2023
660,12.05.2023
518,12.05.2023
"1360,5",15.05.2023
778,16.05.2023
1022,16.05.2023
"438,5",16.05.2023
484,17.05.2023
535,17.05.2023
1556,17.05.2023
"716,5",19.05.2023
"721,5",19.05.2023
"2208,5",20.05.2023
1138,20.05.2023
862,20.05.2023
"999,5",22.05.2023
918,22.05.2023
788,23.05.2023
931,23.05.2023
"2658,5",23.05.2023
526,24.05.2023
"893,5",24.05.2023
"666,5",24.05.2023
1065,25.05.2023
150,26.05.2023
851,26.05.2023
789,30.05.2023
"1676,5",30.05.2023
"674,5",31.05.2023
3097,31.05.2023
"3206,5",1.06.2023
498,1.06.2023
"746,5",1.06.2023
2019,1.06.2023
"693,5",2.06.2023
981,2.06.2023
"1310,5",3.06.2023
753,3.06.2023
1045,3.06.2023
1170,5.06.2023
842,5.06.2023
670,5.06.2023
741,6.06.2023
442,6.06.2023
"737,5",6.06.2023
"1754,5",7.06.2023
694,7.06.2023
774,7.06.2023
780,7.06.2023
1577,9.06.2023
893,10.06.2023
864,10.06.2023
762,12.06.2023
332,12.06.2023
"1201,5",12.06.2023
784,12.06.2023
898,12.06.2023
1413,13.06.2023
"577,5",13.06.2023
"837,5",14.06.2023
462,14.06.2023
"985,5",15.06.2023
723,15.06.2023
"541,5",16.06.2023
1760,16.06.2023
"1002,5",17.06.2023
1391,17.06.2023
"1042,5",17.06.2023
502,17.06.2023
887,19.06.2023
"861,5",19.06.2023
390,19.06.2023
934,20.06.2023
343,20.06.2023
790,20.06.2023
722,20.06.2023
"516,5",21.06.2023
635,21.06.2023
851,22.06.2023
"333,5",22.06.2023
"1048,5",22.06.2023
"749,5",23.06.2023
550,23.06.2023
571,23.06.2023
1085,24.06.2023
1083,24.06.2023
"486,5",24.06.2023
823,26.06.2023
"893,5",26.06.2023
"734,5",26.06.2023
"614,5",27.06.2023
460,27.06.2023
480,28.06.2023
469,28.06.2023
545,28.06.2023
1585,30.06.2023
672,30.06.2023
1801,30.06.2023
"1888,5",1.07.2023
831,1.07.2023
802,1.07.2023
126,1.07.2023
476,6.07.2023
384,8.07.2023
972,10.07.2023
382,13.07.2023
1153,17.07.2023
814,22.07.2023
425,27.07.2023
402,7.09.2023
348,11.09.2023
1080,12.09.2023
577,12.09.2023
605,13.09.2023
941,13.09.2023
2097,13.09.2023
1628,14.09.2023
1195,16.09.2023
1995,16.09.2023
925,16.09.2023
792,16.09.2023
622,18.09.2023
820,18.09.2023
2032,18.09.2023
5790,18.09.2023
1130,19.09.2023
958,19.09.2023
843,19.09.2023
754,19.09.2023
972,20.09.2023
1212,20.09.2023
1196,20.09.2023
907,22.09.2023
921,22.09.2023
1090,23.09.2023
1064,23.09.2023
460,25.09.2023
1349,26.09.2023
668,26.09.2023
962,27.09.2023
1136,27.09.2023
671,27.09.2023
572,29.09.2023
2879,29.09.2023
1376,29.09.2023
354,29.09.2023
1704,30.09.2023
1645,30.09.2023
2432,2.10.2023
2276,4.10.2023
3550,4.10.2023
549,4.10.2023
890,4.10.2023
992,5.10.2023
2462,5.10.2023
1669,5.10.2023
"1230,5",5.10.2023
1317,10.10.2023
3539,10.10.2023
832,10.10.2023
857,17.10.2023
890,19.10.2023
1167,19.10.2023
1275,19.10.2023
448,19.10.2023
2391,19.10.2023
612,19.10.2023
1715,20.10.2023
1055,20.10.2023
"885,5",20.10.2023
"2126,5",20.10.2023
2521,20.10.2023
556,20.10.2023
804,21.10.2023
1730,21.10.2023
2644,21.10.2023
766,21.10.2023
511,21.10.2023
898,21.10.2023
1305,23.10.2023
2501,23.10.2023
1039,23.10.2023
667,24.10.2023
1096,24.10.2023
890,24.10.2023
988,25.10.2023
587,25.10.2023
1635,25.10.2023
1656,25.10.2023
1177,26.10.2023
755,26.10.2023
591,26.10.2023
2919,26.10.2023
888,27.10.2023
751,27.10.2023
938,28.10.2023
1067,28.10.2023
337,28.10.2023
676,28.10.2023
858,28.10.2023
1433,28.10.2023
2946,30.10.2023
738,30.10.2023
814,30.10.2023
2267,30.10.2023
1024,31.10.2023
"1138,5",31.10.2023
1644,3.11.2023
1110,4.11.2023
686,4.11.2023
827,4.11.2023
1028,4.11.2023
789,4.11.2023
388,4.11.2023
1967,6.11.2023
773,6.11.2023
1045,6.11.2023
1334,6.11.2023
1639,7.11.2023
742,7.11.2023
"832,5",7.11.2023
1159,9.11.2023
874,9.11.2023
777,9.11.2023
2335,9.11.2023
4031,13.11.2023
2315,13.11.2023
1010,14.11.2023
1256,14.11.2023
1317,14.11.2023
"963,5",15.11.2023
1829,15.11.2023
1769,16.11.2023
1147,16.11.2023
913,18.11.2023
2086,18.11.2023
1203,18.11.2023
2286,20.11.2023
827,20.11.2023
1090,20.11.2023
979,21.11.2023
2263,21.11.2023
1675,23.11.2023
1521,23.11.2023
1149,23.11.2023
1985,23.11.2023
329,24.11.2023
555,24.11.2023
2099,24.11.2023
994,25.11.2023
1120,28.11.2023
"1443,7",29.11.2023
537,29.11.2023
490,30.11.2023
"789,5",30.11.2023
"318,5",1.12.2023
1572,1.12.2023
"1543,5",1.12.2023
1204,2.12.2023
2195,2.12.2023
3443,2.12.2023
1086,4.12.2023
919,4.12.2023
745,4.12.2023
431,4.12.2023
524,5.12.2023
893,5.12.2023
1148,5.12.2023
"486,5",6.12.2023
"1904,5",6.12.2023
922,11.12.2023
397,12.12.2023
752,12.12.2023
1246,13.12.2023
700,13.12.2023
785,13.12.2023
1950,13.12.2023
2631,14.12.2023
1084,15.12.2023
"962,5",15.12.2023
3937,18.12.2023
"701,5",18.12.2023
1414,18.12.2023
714,19.12.2023
862,19.12.2023
3224,19.12.2023
1152,19.12.2023
615,20.12.2023
501,20.12.2023
845,21.12.2023
593,22.12.2023
2775,22.12.2023
825,22.12.2023
"3651,8",22.12.2023
"2170,4",22.12.2023
"1127,5",27.12.2023
757,27.12.2023
1199,28.12.2023
755,28.12.2023
1384,28.12.2023
3102,29.12.2023
1667,29.12.2023
4262,29.12.2023
895,30.12.2023
1167,30.12.2023
813,2.01.2024
2165,2.01.2024
1179,3.01.2024
988,3.01.2024
650,4.01.2024
378,5.01.2024
777,8.01.2024
1469,9.01.2024
837,10.01.2024
1042,11.01.2024
1154,11.01.2024
2231,12.01.2024
1140,13.01.2024
1906,13.01.2024
913,15.01.2024
989,15.01.2024
3616,15.01.2024
767,15.01.2024
2784,16.01.2024
990,16.01.2024
1134,16.01.2024
855,17.01.2024
1883,18.01.2024
1523,18.01.2024
748,18.01.2024
848,19.01.2024
924,19.01.2024
696,19.01.2024
2154,20.01.2024
949,20.01.2024
1094,20.01.2024
730,22.01.2024
777,23.01.2024
1021,24.01.2024
915,24.01.2024
578,25.01.2024
699,25.01.2024
936,25.01.2024
5208,26.01.2024
851,26.01.2024
882,27.01.2024
731,27.01.2024
1801,27.01.2024
1027,29.01.2024
850,29.01.2024
"932,5",29.01.2024
119,29.01.2024
964,30.01.2024
2003,30.01.2024
682,30.01.2024
1848,5.02.2024
2271,5.02.2024
1824,5.02.2024
953,5.02.2024
1182,6.02.2024
289,6.02.2024
918,7.02.2024
794,7.02.2024
1043,7.02.2024
1052,8.02.2024
610,9.02.2024
1673,10.02.2024
2777,10.02.2024
738,10.02.2024
1000,10.02.2024
2099,12.02.2024
970,12.02.2024
1105,12.02.2024
1703,13.02.2024
1017,13.02.2024
917,13.02.2024
1102,13.02.2024
1442,14.02.2024
1198,15.02.2024
843,15.02.2024
1049,15.02.2024
